id;municipio;2018;2019;2020;2021
420850;ITUPORANGA;24812;25086;25355;25619
420860;JABORA;3955;3936;3918;3899
420870;JACINTO MACHADO;10457;10416;10376;10337
420880;JAGUARUNA;19755;20024;20288;20547
420890;JARAGUA DO SUL;174158;177697;181173;184579
420895;JARDINOPOLIS;1595;1570;1546;1520
420900;JOACABA;29827;30118;30404;30684
420910;JOINVILLE;583144;590466;597658;604708
420915;JOSE BOITEUX;4985;4997;5007;5019
420917;JUPIA;2110;2101;2092;2083
420920;LACERDOPOLIS;2245;2246;2247;2248
420930;LAGES;157743;157544;157349;157158
420940;LAGUNA;45500;45814;46122;46424
420945;LAJEADO GRANDE;1437;1427;1418;1408
420950;LAURENTINO;6875;6970;7063;7154
420960;LAURO MULLER;15174;15244;15313;15380
420970;LEBON REGIS;12099;12107;12115;12122
420980;LEOBERTO LEAL;3083;3041;3000;2960
420985;LINDOIA DO SUL;4580;4563;4546;4530
420990;LONTRAS;11942;12130;12315;12497
421000;LUIZ ALVES;12609;12859;13107;13347
421003;LUZERNA;5686;5685;5684;5683
421005;MACIEIRA;1784;1775;1766;1757
421010;MAFRA;56017;56292;56561;56825
421020;MAJOR GERCINO;3430;3442;3454;3465
421030;MAJOR VIEIRA;8048;8103;8156;8209
421040;MARACAJA;7207;7293;7378;7461
421050;MARAVILHA;25403;25762;26116;26463
421055;MAREMA;1846;1797;1750;1703
421060;MASSARANDUBA;16704;16916;17125;17330
421070;MATOS COSTA;2560;2520;2480;2442
421080;MELEIRO;7028;7015;7001;6989
421085;MIRIM DOCE;2336;2309;2283;2257
421090;MODELO;4200;4209;4218;4227
421100;MONDAI;11592;11742;11889;12034
421105;MONTE CARLO;9824;9866;9906;9945
421110;MONTE CASTELO;8280;8275;8269;8263
421120;MORRO DA FUMACA;17642;17796;17947;18095
421125;MORRO GRANDE;2898;2893;2888;2884
421130;NAVEGANTES;79285;81475;83626;85734
421140;NOVA ERECHIM;4945;5019;5092;5163
421145;NOVA ITABERABA;4333;4331;4329;4327
421150;NOVA TRENTO;14312;14549;14782;15010
421160;NOVA VENEZA;14987;15166;15342;15515
421165;NOVO HORIZONTE;2481;2442;2404;2366
421170;ORLEANS;22785;22912;23038;23161
421175;OTACILIO COSTA;18510;18744;18975;19201
421180;OURO;7317;7295;7272;7251
421185;OURO VERDE;2227;2217;2207;2197
421187;PAIAL;1537;1505;1474;1444
421189;PAINEL;2363;2359;2356;2352
421190;PALHOCA;168259;171797;175272;178679
421200;PALMA SOLA;7475;7423;7372;7321
421205;PALMEIRA;2603;2627;2650;2673
421210;PALMITOS;16182;16169;16157;16144
